Transaction ID,Customer ID,Payment_Mode
10000011,29290,Card
10000012,27703,Card
10000013,28712,Cash
10000014,28020,Cash
10000015,27182,Card
10000016,27318,Cash
10000017,33788,Card
10000018,34106,Card
10000019,59799,Cash
10000020,57982,Cash
10000021,58774,Cash
10000022,58627,Card
10000023,59007,Card
10000024,58215,Cash
10000025,59372,Cash
10000026,57950,Cash
10000027,59533,Card
10000028,58346,Cash
10000029,58925,Card
10000030,58551,Card
10000031,59804,Card
10000032,57200,Card
10000033,57931,Cash
10000034,3077,Cash
10000035,4734,Card
10000036,4004,Card
10000037,5528,Card
10000038,5785,Card
10000039,3714,Cash
10000040,3746,Card
10000041,4289,Card
10000042,5777,Cash
10000043,3571,Card
10000044,4779,Cash
10000045,5734,Card
10000046,5734,Cash
10000047,3051,Card
10000048,5915,Card
10000049,5628,Cash
10000050,3125,Cash
10000051,4813,Cash
10000052,4682,Cash
10000053,3787,Cash
10000054,5029,Card
10000055,3600,Cash
10000056,4606,Card
10000057,3546,Cash
10000058,5707,Card
10000059,4457,Cash
10000060,3330,Card
10000061,5094,Card
10000062,5284,Cash
10000063,5741,Cash
10000064,25949,Card
10000065,24086,Card
10000066,25155,Card
10000067,25247,Cash
10000068,24530,Cash
10000069,24144,Cash
10000070,30718,Cash
10000071,30769,Cash
10000072,31634,Card
10000073,30725,Cash
10000074,8693,Card
10000075,8354,Cash
10000076,8953,Cash
10000077,7409,Cash
10000078,8448,Card
10000079,7598,Cash
10000080,7475,Card
10000081,8197,Card
10000082,8159,Card
10000083,8543,Cash
10000084,8702,Cash
10000085,8661,Card
10000086,8624,Cash
10000087,6318,Card
10000088,8420,Cash
10000089,7309,Card
10000090,8091,Card
10000091,6940,Card
10000092,8927,Card
10000093,7002,Cash
10000094,8555,Cash
10000095,6214,Cash
10000096,8927,Cash
10000097,6068,Card
10000098,8125,Card
10000099,7723,Cash
10000100,8773,Card
10000101,8488,Card
10000102,7277,Cash
10000103,7342,Card
10000104,8820,Card
10000105,8069,Card
10000106,7317,Card
10000107,6343,Card
10000108,6941,Cash
10000109,7974,Cash
10000110,8294,Card
10000111,7355,Card
10000112,7451,Cash
10000113,7924,Cash
10000114,6458,Cash
10000115,6017,Card
10000116,7615,Cash
10000117,6236,Card
10000118,7432,Cash
10000119,7199,Card
10000120,7388,Card
10000121,8745,Cash
10000122,6437,Cash
10000123,7928,Card
10000124,6465,Card
10000125,6249,Cash
10000126,7836,Cash
10000127,7539,Card
10000128,7940,Card
10000129,8600,Card
10000130,8846,Card
10000131,8751,Cash
10000132,8586,Cash
10000133,7927,Cash
10000134,11224,Card
10000135,9584,Card
10000136,11646,Cash
10000137,55370,Cash
10000138,54452,Card
10000139,2416,Cash
10000140,2060,Card
10000141,1451,Card
10000142,1609,Card
10000143,2927,Cash
10000144,2626,Card
10000145,502,Cash
10000146,2571,Card
10000147,769,Cash
10000148,373,Cash
10000149,533,Card
10000150,1217,Cash
10000151,2039,Cash
10000152,590,Cash
10000153,2828,Card
10000154,98,Cash
10000155,591,Cash
10000156,2146,Card
10000157,16700,Cash
10000158,15732,Card
10000159,15400,Card
10000160,16786,Card
10000161,17470,Cash
10000162,15487,Cash
10000163,22557,Cash
10000164,22469,Card
10000165,50246,Cash
10000166,48443,Cash
10000167,47364,Card
10000168,46934,Cash
10000169,45834,Card
10000170,20330,Cash
10000171,20687,Cash
10000172,20206,Card
10000173,19851,Card
10000174,18893,Card
10000175,18179,Card
10000176,18556,Card
10000177,20552,Card
10000178,19699,Card
10000179,19462,Card
10000180,19038,Cash
10000181,18849,Cash
10000182,18418,Cash
10000183,20760,Card
10000184,20474,Card
10000185,18656,Card
10000186,18865,Card
10000187,18817,Cash
10000188,19185,Card
10000189,18488,Cash
10000190,19961,Card
10000191,18498,Card
10000192,20869,Card
10000193,18241,Card
10000194,18314,Card
10000195,20752,Cash
10000196,20745,Cash
10000197,20848,Card
10000198,18363,Cash
10000199,18088,Cash
10000200,18798,Cash
10000201,18490,Card
10000202,18838,Card
10000203,43177,Card
10000204,44348,Cash
10000205,44599,Cash
10000206,44264,Cash
10000207,43369,Cash
10000208,44174,Card
10000209,42366,Cash
10000210,42276,Card
10000211,42899,Cash
10000212,42066,Card
10000213,42141,Card
10000214,43099,Card
10000215,44175,Cash
10000216,42641,Card
10000217,42039,Cash
10000218,44863,Card
10000219,43536,Card
10000220,42739,Card
10000221,42970,Card
10000222,43729,Card
10000223,42330,Card
10000224,44656,Card
10000225,44379,Card
10000226,43571,Cash
10000227,42242,Cash
10000228,42332,Card
10000229,42538,Card
10000230,44107,Cash
10000231,44274,Cash
10000232,42548,Card
10000233,42682,Card
10000234,43988,Cash
10000235,43499,Card
10000236,43630,Card
10000237,42493,Cash
10000238,43000,Cash
10000239,44526,Card
10000240,43508,Cash
10000241,42918,Cash
10000242,42996,Card
10000243,44874,Card
10000244,43516,Card
10000245,42748,Card
10000246,44711,Cash
10000247,44224,Card
10000248,42056,Cash
10000249,43602,Cash
10000250,44100,Card
10000251,42535,Cash
10000252,43521,Cash
10000253,44511,Cash
10000254,44585,Card
10000255,42567,Cash
10000256,43331,Card
10000257,42954,Card
10000258,44752,Card
10000259,42654,Cash
10000260,42890,Card
10000261,43579,Card
10000262,44301,Cash
